[200.0, 1800.0, 0.129936, [1.92512415], [64.841554], [8.396747999999999], [1.1114708057344556]]
[200.0, 700.0, 0.122937, [8.545631599999998], [391.84824], [51.31345999999999], [4.272817161545763]]
[200.0, 2000.0, 0.130207, [1.9292498899999997], [64.841554], [8.396747999999999], [1.1138529799753647]]
[200.0, 1300.0, 0.254561, [6.453905799999999], [110.09069599999998], [15.394037999999998], [6.453906556497389]]
[200.0, 1400.0, 0.137228, [6.466118799999999], [254.23487], [33.120506], [6.466117753335459]]
[200.0, 400.0, 0.228035, [1.61435965], [23.324299999999997], [2.33243], [0.8071799946418393]]
[200.0, 1900.0, 0.139938, [0.9662861199999999], [23.324299999999997], [2.33243], [0.5578854938515608]]
[200.0, 1700.0, 0.287759, [3.2425031999999994], [32.18753399999999], [5.5978319999999995], [3.2425032598287387]]
[200.0, 500.0, 0.284296, [3.1942584], [32.18753399999999], [5.5978319999999995], [3.194259508868996]]
[200.0, 1500.0, 0.139666, [0.9643395149999998], [23.324299999999997], [2.33243], [0.5567615468043747]]
[200.0, 100.0, 0.130312, [1.9308311399999998], [64.841554], [8.396747999999999], [1.1147658924635253]]
[200.0, 600.0, 0.310076, [1.5893391], [9.796206], [1.3994579999999999], [1.5893391095043248]]
[200.0, 1000.0, 0.117402, [0.80748515], [23.324299999999997], [2.33243], [0.5709783005946898]]
[200.0, 1200.0, 0.213815, [3.2230268], [64.841554], [8.396747999999999], [1.611513510027142]]
[200.0, 300.0, 0.313432, [1.6123989], [9.796206], [1.3994579999999999], [1.6123992480152054]]
[200.0, 1600.0, 0.184515, [6.430275599999999], [200.58897999999996], [23.324299999999997], [2.8757068411088085]]
[200.0, 900.0, 0.173307, [1.2083602], [23.324299999999997], [2.33243], [0.697647099542455]]
[200.0, 800.0, 0.184202, [1.28575635], [23.324299999999997], [2.33243], [0.6428781836397934]]
[200.0, 1100.0, 0.087515, [1.2885786799999999], [64.841554], [8.396747999999999], [0.9111629327403524]]
[200.0, 200.0, 0.287851, [3.2437888999999993], [32.18753399999999], [5.5978319999999995], [3.2437885920632987]]
[300.0, 2000.0, 0.190751, [2.8446331], [64.841554], [8.396747999999999], [0.821174730492847]]
[300.0, 400.0, 0.186489, [1.29667215], [23.324299999999997], [2.33243], [0.3909612701406624]]
[300.0, 1000.0, 0.13743, [0.945304945], [23.324299999999997], [2.33243], [0.33421586014879656]]
[300.0, 200.0, 0.205626, [3.0744767], [64.841554], [8.396747999999999], [0.8527065051939031]]
[300.0, 1600.0, 0.144151, [2.1339236699999997], [64.841554], [8.396747999999999], [0.71130778865411]]
[300.0, 1300.0, 0.12329, [4.25117418], [200.58897999999996], [23.324299999999997], [1.4170578304360057]]
[300.0, 800.0, 0.128071, [1.89161177], [64.841554], [8.396747999999999], [0.6687857405776532]]
[300.0, 700.0, 0.153361, [1.05841308], [23.324299999999997], [2.33243], [0.35280435020702333]]
[300.0, 300.0, 0.127623, [1.8848801299999998], [64.841554], [8.396747999999999], [0.6664056610653903]]
[300.0, 900.0, 0.103656, [0.7082843099999999], [23.324299999999997], [2.33243], [0.28915592316257327]]
[300.0, 600.0, 0.136053, [4.697395799999999], [200.58897999999996], [23.324299999999997], [1.4854467691573467]]
[300.0, 1400.0, 0.137563, [0.9462443799999999], [23.324299999999997], [2.33243], [0.3345479071074874]]
[300.0, 500.0, 0.153353, [1.058353395], [23.324299999999997], [2.33243], [0.3527844261726983]]
[300.0, 1200.0, 0.103962, [0.71042078], [23.324299999999997], [2.33243], [0.2900281076464831]]
[300.0, 100.0, 0.137098, [4.734080799999999], [200.58897999999996], [23.324299999999997], [1.4970480740443841]]
[300.0, 1100.0, 0.143368, [2.1220765999999998], [64.841554], [8.396747999999999], [0.7073588582890583]]
[300.0, 1900.0, 0.174273, [2.5917388999999997], [64.841554], [8.396747999999999], [0.7814386661792466]]
[300.0, 1500.0, 0.14277, [2.1130203499999998], [64.841554], [8.396747999999999], [0.7043401048499226]]
[300.0, 1700.0, 0.169067, [1.1708287999999998], [23.324299999999997], [2.33243], [0.3702485678567845]]
[300.0, 1800.0, 0.149454, [5.167731999999999], [200.58897999999996], [23.324299999999997], [1.558130751894718]]
[400.0, 900.0, 0.236069, [3.5442125999999994], [64.841554], [8.396747999999999], [0.6169679584873108]]
[400.0, 1200.0, 0.215007, [3.2153953999999993], [64.841554], [8.396747999999999], [0.5870479557923697]]
[400.0, 1500.0, 0.161138, [5.5740913999999995], [200.58897999999996], [23.324299999999997], [1.0931695548266973]]
[400.0, 200.0, 0.236003, [3.5431752999999997], [64.841554], [8.396747999999999], [0.6167879171157619]]
[400.0, 1600.0, 0.230527, [3.4573829999999997], [64.841554], [8.396747999999999], [0.6111846999884732]]
[400.0, 500.0, 0.201517, [3.0065646], [64.841554], [8.396747999999999], [0.5681871512098807]]
[400.0, 1700.0, 0.222326, [3.3292753], [64.841554], [8.396747999999999], [0.5979555464246484]]
[400.0, 300.0, 0.21629, [3.2353663], [64.841554], [8.396747999999999], [0.5906944075408197]]
