[200.0, 1800.0, 0.020713, [1.0692359599999999, 0.10692359600000001], [786.6, 25.392], [50.808656000000006, 2.93968428], [0.33812221695712336, 0.10692363330901172]]
[200.0, 700.0, 0.035177, [4.8930476, 0.053185292], [4057.2, 1.8078], [209.489474, 0.304713108], [1.0202709575794071, 0.0531852907108723]]
[200.0, 2000.0, 0.067355, [0.026716546999999997, 0.053433093999999993], [0.09706000000000001, 1.8078], [0.0328924104, 0.304713108], [0.02671654695128096, 0.05343309390256192]]
[200.0, 1300.0, 0.027706, [1.5982285999999999, 1.70477656], [786.6, 874.0], [50.808656000000006, 74.882572], [0.41266076721685085, 0.602729628805487]]
[200.0, 1400.0, 0.023946, [0.5390800720000001, 0.215631992], [259.90000000000003, 86.94], [15.5177596, 7.5865132], [0.24108394179621337, 0.15247486712242117]]
[200.0, 400.0, 0.077059, [0.107731034, 0.6463860199999999], [1.1500000000000001, 314.64], [0.18400000000000002, 26.476988199999997], [0.07617733332166465, 0.26388600735923834]]
[200.0, 1900.0, 0.071286, [0.053415108, 0.106830216], [0.35742, 8.096], [0.090960262, 0.98766186], [0.053415092249288504, 0.10683018449857701]]
[200.0, 1700.0, 0.026278, [0.107175768, 2.5722188], [14.352, 1996.4], [1.25133524, 126.311676], [0.07578470333781086, 0.7425354139433351]]
[200.0, 500.0, 0.029343, [0.053615116, 3.43136816], [3.8824, 1996.4], [0.428071952, 126.311676], [0.053615126298461706, 0.8578420602418606]]
[200.0, 1500.0, 0.024373, [1.27858104, 1.7047737999999997], [786.6, 874.0], [50.808656000000006, 74.882572], [0.3690944375630713, 0.6027287862380558]]
[200.0, 100.0, 0.070808, [0.4275815, 0.053447676000000006], [259.90000000000003, 0.31418], [15.5177596, 0.093860286], [0.2137907394065515, 0.053447684851637874]]
[200.0, 600.0, 0.03343, [2.77292048, 0.21330163200000002], [1968.8, 25.392], [126.311676, 2.93968428], [0.76907003665466, 0.15082703460586896]]
[200.0, 1000.0, 0.034051, [0.7474606239999999, 0.320340228], [259.90000000000003, 86.94], [15.5177596, 7.5865132], [0.28251356045329934, 0.18494853610666945]]
[200.0, 1200.0, 0.030022, [0.053525553999999996, 0.8564084040000001], [3.8824, 314.64], [0.428071952, 26.476988199999997], [0.05352554149188965, 0.3027862427522096]]
[200.0, 300.0, 0.026702, [1.1758952399999998, 0.320698752], [786.6, 86.94], [50.808656000000006, 7.5865132], [0.35454584673917705, 0.18515550277536988]]
[200.0, 1600.0, 0.062484, [0.026626272000000003, 2.9821413599999995], [0.09706000000000001, 1996.4], [0.0328924104, 126.311676], [0.02662626269306303, 0.7970108199014616]]
[200.0, 900.0, 0.041603, [0.053579098000000006, 0.642949084], [1.1500000000000001, 314.64], [0.18400000000000002, 26.476988199999997], [0.053579101037624734, 0.2624828845925006]]
[200.0, 800.0, 0.023241, [4.48460072, 2.77618096], [4057.2, 1996.4], [209.489474, 126.311676], [0.9786200481903076, 0.7699739374290535]]
[200.0, 1100.0, 0.023158, [24.026812, 0.744193152], [25530.0, 314.64], [1383.06314, 26.476988199999997], [2.2602518358802413, 0.2812785919191149]]
[200.0, 200.0, 0.040842, [0.053286998, 0.106573996], [1.1500000000000001, 25.392], [0.18400000000000002, 2.93968428], [0.053287024236675105, 0.10657404847335021]]
[300.0, 2000.0, 0.0142, [0.0813531896, 0.0813531896], [43.37799999999999, 25.392], [3.22984216, 2.93968428], [0.0575253937526724, 0.0575253937526724]]
[300.0, 400.0, 0.009692, [0.20314262400000002, 0.6500565439999999], [259.90000000000003, 874.0], [15.5177596, 74.882572], [0.09084816696884974, 0.2298297001520909]]
[300.0, 1000.0, 0.025619, [0.010140838000000001, 1.216900744], [0.09706000000000001, 1996.4], [0.0328924104, 126.311676], [0.0101408379781949, 0.31420245366323923]]
[300.0, 200.0, 0.010794, [2.4175208, 1.047592592], [4057.2, 1996.4], [209.489474, 126.311676], [0.44137703537905093, 0.2905499249354575]]
[300.0, 1600.0, 0.010819, [5.3453564, 1.295844104], [9476.0, 1996.4], [553.91314, 126.311676], [0.6579678946574825, 0.32396098876253604]]
[300.0, 1300.0, 0.013789, [6.08110064, 0.162162696], [9476.0, 86.94], [553.91314, 7.5865132], [0.7021850805592497, 0.08108133861746487]]
[300.0, 800.0, 0.01022, [0.6110161599999999, 0.9776258560000001], [786.6, 1996.4], [50.808656000000006, 126.311676], [0.15776369128541584, 0.28221623448696215]]
[300.0, 700.0, 0.018292, [0.0203526356, 0.0407052804], [1.1500000000000001, 8.096], [0.18400000000000002, 0.98766186], [0.020352637490015885, 0.04070527498003177]]
[300.0, 300.0, 0.021246, [0.0203315814, 0.609947488], [1.1500000000000001, 314.64], [0.18400000000000002, 26.476988199999997], [0.02033158370614547, 0.1574877433199168]]
[300.0, 900.0, 0.010893, [1.3826172159999999, 0.284656464], [1968.8, 314.64], [126.311676, 26.476988199999997], [0.33533387923083463, 0.1075900174551524]]
[300.0, 600.0, 0.014617, [0.285274888, 1.0595923360000001], [259.90000000000003, 874.0], [15.5177596, 74.882572], [0.1078237645048623, 0.2938780698453016]]
[300.0, 1400.0, 0.013719, [0.020353564799999998, 0.08141425919999999], [3.8824, 25.392], [0.428071952, 2.93968428], [0.02035356277411893, 0.057568569035542305]]
[300.0, 500.0, 0.017279, [0.24301928800000003, 1.134089704], [103.5, 1996.4], [6.6977012, 126.311676], [0.09921217892980679, 0.3030982690547737]]
[300.0, 1200.0, 0.028162, [0.0202913544, 0.0405827088], [0.35742, 8.096], [0.090960262, 0.98766186], [0.02029135552889456, 0.04058270062970182]]
[300.0, 100.0, 0.015065, [0.12164672399999998, 0.72988016], [43.37799999999999, 874.0], [3.22984216, 74.882572], [0.070232754204858, 0.24329343902374348]]
[300.0, 1100.0, 0.01408, [13.662568559999999, 0.0203311996], [25530.0, 1.8078], [1383.06314, 0.304713108], [1.0540900552040136, 0.020331203830565466]]
[300.0, 1900.0, 0.019244, [0.04053634539999999, 0.1621454], [3.8824, 86.94], [0.428071952, 7.5865132], [0.028663526112465646, 0.0810726895273618]]
[300.0, 1500.0, 0.018251, [0.0202787734, 0.162230224], [1.1500000000000001, 86.94], [0.18400000000000002, 7.5865132], [0.020278775357501253, 0.08111510664728241]]
[300.0, 1700.0, 0.012026, [1.704701304, 0.649409968], [1968.8, 874.0], [126.311676, 74.882572], [0.3719963089709359, 0.229601110101846]]
[300.0, 1800.0, 0.011331, [526.8292600000001], [786600.0], [37086.3868], [73.0580799090696]]
[400.0, 900.0, 0.007094, [1.387476656, 0.0749987496], [4057.2, 86.94], [209.489474, 7.5865132], [0.2280997468828056, 0.03749937379743827]]
[400.0, 1200.0, 0.0123, [0.0047111704999999995, 0.376893824], [0.09706000000000001, 874.0], [0.0328924104, 74.882572], [0.0047111720314588395, 0.11918427254633893]]
[400.0, 1500.0, 0.009445, [2.1764219199999997, 0.037524527599999996], [4057.2, 25.392], [209.489474, 2.93968428], [0.28577824219488795, 0.026533843114030807]]
[400.0, 200.0, 0.00688, [319.90768999999995], [791200.0], [37086.3868], [38.79448937671432]]
[400.0, 1600.0, 0.014805, [0.0188398382, 0.565195008], [1.1500000000000001, 874.0], [0.18400000000000002, 74.882572], [0.013321775516799554, 0.14593274203138926]]
[400.0, 500.0, 0.007548, [1.5507429839999998, 0.0189115108], [4057.2, 8.096], [209.489474, 0.98766186], [0.24218538248209776, 0.01891149905427912]]
[400.0, 1700.0, 0.015929, [1.50969148, 0.056613432799999995], [4057.2, 8.096], [209.489474, 0.98766186], [0.23870317943420866, 0.0326857886917235]]
[400.0, 300.0, 0.009523, [0.0094070322, 0.26339692], [1.1500000000000001, 314.64], [0.18400000000000002, 26.476988199999997], [0.009407032616080375, 0.07039579456757342]]
[400.0, 1300.0, 0.009689, [0.07546298159999999, 0.037731490799999996], [43.37799999999999, 25.392], [3.22984216, 2.93968428], [0.037731487031390634, 0.026680190344148598]]
[400.0, 1400.0, 0.006831, [1.695298536, 0.48975298399999995], [4057.2, 1996.4], [209.489474, 126.311676], [0.2527201652421112, 0.13583300735830006]]
[400.0, 1100.0, 0.008137, [0.169686824, 0.009427042200000001], [259.90000000000003, 1.8078], [15.5177596, 0.304713108], [0.05656226291088432, 0.00942704543958498]]
[400.0, 800.0, 0.014293, [1.58714904, 0.009447319], [4057.2, 0.31418], [209.489474, 0.093860286], [0.24490241021272127, 0.009447316004029928]]
[400.0, 100.0, 0.015109, [0.0189699538, 0.0094849746], [3.8824, 0.31418], [0.428071952, 0.093860286], [0.01341378298914963, 0.00948497579754424]]
[400.0, 1000.0, 0.0076, [353.34853999999996], [791200.0], [37086.3868], [40.801170228315755]]
[400.0, 400.0, 0.01347, [0.009454816999999999, 0.009454816999999999], [0.35742, 1.8078], [0.090960262, 0.304713108], [0.009454814083841098, 0.009454814083841098]]
[400.0, 1800.0, 0.007135, [1.395464096, 0.0754304872], [4057.2, 86.94], [209.489474, 7.5865132], [0.2294128794292073, 0.03771524262682132]]
