[200.0, 1800.0, 0.623647, [26.858677799999995], [137.07999999999998], [19.9292056], [18.99195109513501]]
[200.0, 700.0, 0.915718, [66.581734], [137.07999999999998], [19.9292056], [29.776262270473097]]
[200.0, 2000.0, 0.768645, [35.664052999999996], [137.07999999999998], [19.9292056], [17.832029194682246]]
[200.0, 1300.0, 0.622838, [26.7822212], [137.07999999999998], [19.9292056], [18.93788770692233]]
[200.0, 1400.0, 0.862898, [53.89962599999999], [137.07999999999998], [19.9292056], [26.94980577295502]]
[200.0, 400.0, 0.771264, [35.9889878], [137.07999999999998], [19.9292056], [17.99449211286609]]
[200.0, 1900.0, 0.619046, [26.428660599999997], [137.07999999999998], [19.9292056], [18.68788710368296]]
[200.0, 1700.0, 0.656316, [26.786103599999997], [137.07999999999998], [19.9292056], [15.464964662099941]]
[200.0, 500.0, 0.769551, [35.7757272], [137.07999999999998], [19.9292056], [17.887867586719217]]
[200.0, 1500.0, 0.766831, [35.44245719999999], [137.07999999999998], [19.9292056], [17.72123358008691]]
[200.0, 100.0, 0.622294, [26.7309864], [137.07999999999998], [19.9292056], [18.901662519471667]]
[200.0, 600.0, 0.620765, [26.5879126], [137.07999999999998], [19.9292056], [18.800493195658458]]
[200.0, 1000.0, 0.654146, [26.610981599999995], [137.07999999999998], [19.9292056], [15.363855388540989]]
[200.0, 1200.0, 0.861227, [53.369429999999994], [137.07999999999998], [19.9292056], [26.684722513078526]]
[200.0, 300.0, 0.899095, [53.55862799999999], [137.07999999999998], [19.9292056], [21.865213440531516]]
[200.0, 1600.0, 0.653839, [26.5863578], [137.07999999999998], [19.9292056], [15.349642393228578]]
[200.0, 900.0, 0.846091, [44.5315052], [137.07999999999998], [19.9292056], [19.915094245320557]]
[200.0, 800.0, 0.673282, [26.6518572], [137.07999999999998], [19.9292056], [13.325927681028437]]
[200.0, 1100.0, 0.765332, [53.135335999999995], [137.07999999999998], [19.9292056], [37.57233988454804]]
[200.0, 200.0, 0.969364, [93.982692], [137.07999999999998], [19.9292056], [35.52212213255283]]
[300.0, 2000.0, 0.348759, [10.2507366], [116.83999999999999], [16.794724199999997], [10.250735409715732]]
[300.0, 400.0, 0.362732, [10.1149262], [116.83999999999999], [16.794724199999997], [7.15233437417463]]
[300.0, 1000.0, 0.584978, [20.3554186], [137.07999999999998], [19.9292056], [8.310066466641528]]
[300.0, 200.0, 0.400874, [12.647423999999999], [137.07999999999998], [19.9292056], [5.656099843531759]]
[300.0, 1600.0, 0.420233, [13.486468599999998], [137.07999999999998], [19.9292056], [6.743236006547598]]
[300.0, 1300.0, 0.471967, [13.5042016], [116.83999999999999], [16.794724199999997], [6.752101190000043]]
[300.0, 800.0, 0.456455, [15.205023999999998], [137.07999999999998], [19.9292056], [8.778624862699168]]
[300.0, 700.0, 0.329543, [10.1611792], [137.07999999999998], [19.9292056], [5.0805891115105934]]
[300.0, 300.0, 0.470318, [15.242978599999999], [137.07999999999998], [19.9292056], [6.222919375984233]]
[300.0, 900.0, 0.470654, [15.2564888], [137.07999999999998], [19.9292056], [6.228435671980565]]
[300.0, 600.0, 0.508405, [16.970343], [137.07999999999998], [19.9292056], [7.589368519185242]]
[300.0, 1400.0, 0.346854, [10.1746526], [116.83999999999999], [16.794724199999997], [10.174655139118967]]
[300.0, 500.0, 0.309062, [10.1095902], [137.07999999999998], [19.9292056], [10.109588189436797]]
[300.0, 1200.0, 0.457245, [15.239496399999998], [137.07999999999998], [19.9292056], [8.79852907706737]]
