[400.0, 1500.0, 0.431102, [13.4959584], [137.07999999999998], [19.9292056], [3.89594772500864]]
[400.0, 200.0, 0.335768, [10.223421799999999], [137.07999999999998], [19.9292056], [2.2309336072595256]]
[400.0, 1600.0, 0.273189, [8.198308599999999], [137.07999999999998], [19.9292056], [2.7327697561265567]]
[400.0, 500.0, 0.350748, [10.721114199999999], [137.07999999999998], [19.9292056], [2.285749673958196]]
[400.0, 1700.0, 0.341098, [9.0135022], [116.83999999999999], [16.794724199999997], [6.373507087938319]]
[400.0, 300.0, 0.321137, [9.7424504], [137.07999999999998], [19.9292056], [2.1784781192382905]]
[400.0, 1300.0, 0.300761, [9.080519599999999], [137.07999999999998], [19.9292056], [3.2104474018429263]]
[400.0, 1400.0, 0.356344, [10.908467599999998], [137.07999999999998], [19.9292056], [3.149002563987524]]
[400.0, 1100.0, 0.273086, [8.1950472], [137.07999999999998], [19.9292056], [2.7316824141909324]]
[400.0, 800.0, 0.260574, [7.7994334], [137.07999999999998], [19.9292056], [1.9498580143179656]]
[400.0, 100.0, 1.0, [445.703246], [58.419999999999995], [16.4252844], [14.74255147523657]]
[400.0, 1000.0, 0.228447, [6.7958191999999995], [137.07999999999998], [19.9292056], [2.7743808512891666]]
[400.0, 400.0, 0.29036, [8.7459892], [137.07999999999998], [19.9292056], [2.0614503661257526]]
[400.0, 1800.0, 0.300882, [9.0844434], [137.07999999999998], [19.9292056], [3.7087087424061758]]
[400.0, 2000.0, 0.213781, [6.3430504], [137.07999999999998], [19.9292056], [2.397448333541309]]
[400.0, 600.0, 0.478464, [15.2320812], [137.07999999999998], [19.9292056], [3.046416116685309]]
[400.0, 700.0, 0.336654, [10.2527146], [137.07999999999998], [19.9292056], [2.2373257536621707]]
[400.0, 1900.0, 0.19133, [5.6557828], [137.07999999999998], [19.9292056], [2.529343787625557]]
[500.0, 1700.0, 0.159334, [4.687450599999999], [137.07999999999998], [19.9292056], [1.482302446871083]]
[500.0, 1100.0, 0.236076, [7.0326318], [137.07999999999998], [19.9292056], [2.0301457829426925]]
[500.0, 300.0, 0.212359, [6.2992859999999995], [137.07999999999998], [19.9292056], [1.2598569487048916]]
[500.0, 1300.0, 0.218903, [6.5007936], [137.07999999999998], [19.9292056], [1.7374103176854911]]
[500.0, 1800.0, 0.158313, [4.656750199999999], [137.07999999999998], [19.9292056], [1.9011099358006627]]
[500.0, 1400.0, 0.158616, [4.665858199999999], [137.07999999999998], [19.9292056], [1.6496301658250552]]
[500.0, 600.0, 0.212193, [6.2942076], [137.07999999999998], [19.9292056], [1.2588412478148308]]
[500.0, 1900.0, 0.196589, [5.8161526], [137.07999999999998], [19.9292056], [1.8392287633679503]]
[500.0, 1200.0, 0.158393, [4.6591698], [137.07999999999998], [19.9292056], [1.4733592474342432]]
[500.0, 800.0, 0.187396, [5.5360678], [137.07999999999998], [19.9292056], [1.1802935795809446]]
[500.0, 1000.0, 0.14291, [4.194911579999999], [137.07999999999998], [19.9292056], [1.3983039111723887]]
[500.0, 2000.0, 0.140085, [4.11047766], [137.07999999999998], [19.9292056], [1.553614844161834]]
[500.0, 700.0, 0.315694, [9.564761599999999], [137.07999999999998], [19.9292056], [1.5516087071165847]]
[500.0, 100.0, 1.0, [250.25311], [58.419999999999995], [16.4252844], [7.9455423301370685]]
[500.0, 200.0, 0.999999, [116.70443799999998], [58.419999999999995], [16.4252844], [5.417868595674871]]
[500.0, 1500.0, 0.095984, [2.80188576], [137.07999999999998], [19.9292056], [1.1438650840024795]]
[500.0, 900.0, 0.220284, [6.5434126], [137.07999999999998], [19.9292056], [1.2832685882542283]]
[500.0, 1600.0, 0.134144, [3.9331449], [137.07999999999998], [19.9292056], [1.7589560335608163]]
[500.0, 500.0, 0.353202, [10.8031782], [137.07999999999998], [19.9292056], [1.6474693053286302]]
[500.0, 400.0, 0.261131, [7.816968599999999], [137.07999999999998], [19.9292056], [1.403969360206981]]
[600.0, 200.0, 0.99999, [101.893312], [58.419999999999995], [16.4252844], [3.7712412041660763]]
[600.0, 1400.0, 0.106587, [3.1149718799999997], [137.07999999999998], [19.9292056], [0.899214937153515]]
[600.0, 1900.0, 0.124109, [3.6344080199999995], [137.07999999999998], [19.9292056], [0.9713363746921042]]
[600.0, 100.0, 1.0, [159.87014799999997], [58.419999999999995], [16.4252844], [4.741187665553854]]
[600.0, 800.0, 0.128365, [3.7609825399999997], [137.07999999999998], [19.9292056], [0.7238014854917058]]
[600.0, 1200.0, 0.150079, [4.40954758], [137.07999999999998], [19.9292056], [1.0694723996438615]]
[600.0, 600.0, 0.180054, [5.3131379999999995], [137.07999999999998], [19.9292056], [0.8619046158363464]]
[600.0, 1600.0, 0.097909, [2.85866816], [137.07999999999998], [19.9292056], [0.8619208188691116]]
[600.0, 400.0, 0.211681, [6.278470999999999], [137.07999999999998], [19.9292056], [0.9359389296316292]]
[600.0, 500.0, 0.166642, [4.907569799999999], [137.07999999999998], [19.9292056], [0.8295310234102158]]
[600.0, 1100.0, 0.102436, [2.58787904], [116.83999999999999], [16.794724199999997], [1.829906942989178]]
[600.0, 300.0, 0.194374, [5.7485694], [137.07999999999998], [19.9292056], [0.8977758849512499]]
[600.0, 1700.0, 0.154211, [3.9225602999999993], [116.83999999999999], [16.794724199999997], [2.2646912363498912]]
[600.0, 1500.0, 0.115689, [3.38447714], [137.07999999999998], [19.9292056], [0.9386852017582891]]
[600.0, 1800.0, 0.078086, [2.27531824], [137.07999999999998], [19.9292056], [0.8599892843518459]]
[600.0, 1000.0, 0.088703, [2.58740294], [137.07999999999998], [19.9292056], [0.9147851502948656]]
[600.0, 2000.0, 0.112222, [3.2817402799999997], [137.07999999999998], [19.9292056], [1.0377772294669023]]
[600.0, 700.0, 0.185009, [5.4635212], [137.07999999999998], [19.9292056], [0.8748637679090384]]
[600.0, 1300.0, 0.080122, [2.33510858], [137.07999999999998], [19.9292056], [0.7783694783327516]]
[600.0, 900.0, 0.152998, [4.4971067399999995], [137.07999999999998], [19.9292056], [0.794983679580908]]
[700.0, 2000.0, 0.04181, [1.2145039599999998], [137.07999999999998], [19.9292056], [0.42939195195066243]]
[700.0, 100.0, 0.999966, [94.135504], [58.419999999999995], [16.4252844], [2.779533014015124]]
[700.0, 1000.0, 0.067892, [1.9764162199999997], [137.07999999999998], [19.9292056], [0.5481592465698266]]
[700.0, 600.0, 0.10371, [3.0299275399999996], [137.07999999999998], [19.9292056], [0.49811692121428675]]
[700.0, 1400.0, 0.077883, [2.26936124], [137.07999999999998], [19.9292056], [0.5859464760539139]]
[700.0, 1900.0, 0.093298, [2.7227004399999997], [137.07999999999998], [19.9292056], [0.6417466578019709]]
[700.0, 200.0, 0.999391, [74.94158999999999], [58.419999999999995], [16.4252844], [2.472094524891797]]
[700.0, 400.0, 0.120533, [3.5281779199999996], [137.07999999999998], [19.9292056], [0.5380421221428672]]
[700.0, 1300.0, 0.052221, [1.5181632999999999], [137.07999999999998], [19.9292056], [0.48008531991719966]]
[700.0, 1100.0, 0.093324, [2.7234852], [137.07999999999998], [19.9292056], [0.6419316069489023]]
[700.0, 800.0, 0.092559, [2.70094152], [137.07999999999998], [19.9292056], [0.4701735585929945]]
[700.0, 1500.0, 0.083348, [2.42990446], [137.07999999999998], [19.9292056], [0.6074761114644757]]
[700.0, 1600.0, 0.045726, [1.3286525], [137.07999999999998], [19.9292056], [0.5021834979367602]]
[700.0, 1800.0, 0.084658, [2.46839542], [137.07999999999998], [19.9292056], [0.6846096718568909]]
[700.0, 1200.0, 0.062461, [1.8174379199999997], [137.07999999999998], [19.9292056], [0.524649107499479]]
[700.0, 700.0, 0.131136, [3.84349688], [137.07999999999998], [19.9292056], [0.5606316876524193]]
[700.0, 900.0, 0.123227, [3.60818802], [137.07999999999998], [19.9292056], [0.5439548139321868]]
[700.0, 300.0, 0.818917, [26.084253999999998], [58.419999999999995], [16.4252844], [1.4604380616787553]]
[700.0, 500.0, 0.120189, [3.51797236], [137.07999999999998], [19.9292056], [0.5364858342957435]]
[700.0, 1700.0, 0.057248, [1.6650205999999999], [137.07999999999998], [19.9292056], [0.5020225126426104]]
[800.0, 300.0, 0.883887, [31.04241], [58.419999999999995], [16.4252844], [1.2416963628842599]]
[800.0, 100.0, 0.99411, [58.047031999999994], [58.419999999999995], [16.4252844], [1.6919672951921971]]
[800.0, 1800.0, 0.041247, [1.1981031199999999], [137.07999999999998], [19.9292056], [0.33229395167532016]]
[800.0, 800.0, 0.093133, [2.7178423799999996], [137.07999999999998], [19.9292056], [0.36647377510539547]]
[800.0, 400.0, 0.08323, [2.42642226], [137.07999999999998], [19.9292056], [0.34663174782469075]]
[800.0, 200.0, 0.984101, [49.882492], [58.419999999999995], [16.4252844], [1.5688185185036538]]
[800.0, 1700.0, 0.027798, [0.8066697999999999], [137.07999999999998], [19.9292056], [0.30489246255032276]]
[800.0, 600.0, 0.087003, [2.53736368], [137.07999999999998], [19.9292056], [0.3962696158425473]]
[800.0, 1600.0, 0.043937, [1.27650782], [137.07999999999998], [19.9292056], [0.34116110182727455]]
[800.0, 1000.0, 0.041041, [1.19210058], [137.07999999999998], [19.9292056], [0.3306292679724528]]
[800.0, 1100.0, 0.050782, [1.4761519599999997], [137.07999999999998], [19.9292056], [0.36903799235309087]]
[800.0, 1500.0, 0.036723, [0.9216941799999999], [116.83999999999999], [16.794724199999997], [0.6517364025432367]]
[800.0, 1400.0, 0.043575, [1.2659347199999997], [137.07999999999998], [19.9292056], [0.38169368640311563]]
[800.0, 1200.0, 0.041349, [1.20107978], [137.07999999999998], [19.9292056], [0.33311956922402497]]
[800.0, 900.0, 0.083095, [2.42247086], [137.07999999999998], [19.9292056], [0.34606723595278416]]
[800.0, 1300.0, 0.047551, [1.3818791], [137.07999999999998], [19.9292056], [0.3989140846347744]]
[800.0, 2000.0, 0.057011, [1.6580791999999998], [137.07999999999998], [19.9292056], [0.3908130600171903]]
[800.0, 500.0, 0.091245, [2.66223804], [137.07999999999998], [19.9292056], [0.36228471008310575]]
[800.0, 1900.0, 0.05693, [1.6557235399999999], [137.07999999999998], [19.9292056], [0.39025777552791946]]
[800.0, 700.0, 0.071668, [2.08705266], [137.07999999999998], [19.9292056], [0.3220391961858059]]
[900.0, 200.0, 0.913688, [34.1540294], [58.419999999999995], [16.4252844], [1.0260583307005504]]
[900.0, 1100.0, 0.031513, [0.9146925199999999], [137.07999999999998], [19.9292056], [0.2286731668561049]]
[900.0, 300.0, 0.773019, [23.3962164], [58.419999999999995], [16.4252844], [0.8475555861416996]]
[900.0, 1000.0, 0.031607, [0.9174437799999999], [137.07999999999998], [19.9292056], [0.22936095421845454]]
[900.0, 900.0, 0.060336, [1.75527168], [137.07999999999998], [19.9292056], [0.23249143597130625]]
[900.0, 1600.0, 0.021655, [0.6281322999999999], [137.07999999999998], [19.9292056], [0.1893889886978649]]
[900.0, 700.0, 0.061416, [1.78685344], [137.07999999999998], [19.9292056], [0.2346252986359314]]
[900.0, 1900.0, 0.019809, [0.5745101], [137.07999999999998], [19.9292056], [0.20311997853485508]]
[900.0, 500.0, 0.063304, [1.84208656], [137.07999999999998], [19.9292056], [0.23781234803937326]]
[900.0, 1400.0, 0.031348, [0.9098947199999999], [137.07999999999998], [19.9292056], [0.227473697644365]]
[900.0, 1200.0, 0.031483, [0.91383738], [137.07999999999998], [19.9292056], [0.22845926744170392]]
[900.0, 1500.0, 0.046447, [1.34967588], [137.07999999999998], [19.9292056], [0.3096368625341627]]
[900.0, 800.0, 0.059478, [1.7301952399999998], [137.07999999999998], [19.9292056], [0.2312070466919207]]
[900.0, 400.0, 0.310434, [7.3978672], [58.419999999999995], [16.4252844], [0.47653868678209116]]
[900.0, 100.0, 0.923232, [35.346528799999994], [58.419999999999995], [16.4252844], [1.0432197601656135]]
[900.0, 600.0, 0.056917, [1.6553421999999998], [137.07999999999998], [19.9292056], [0.22526355461991623]]
[900.0, 1800.0, 0.033448, [0.9709909999999999], [137.07999999999998], [19.9292056], [0.23549987414009374]]
[900.0, 2000.0, 0.019814, [0.57465408], [137.07999999999998], [19.9292056], [0.18172154302668683]]
[900.0, 1700.0, 0.025828, [0.7493823199999999], [137.07999999999998], [19.9292056], [0.2078412151619596]]
[900.0, 1300.0, 0.023076, [0.6694219], [137.07999999999998], [19.9292056], [0.25301777210306786]]
[1000.0, 1600.0, 0.020028, [0.5808866199999999], [137.07999999999998], [19.9292056], [0.14522167944215492]]
[1000.0, 1400.0, 0.018862, [0.5470223399999999], [137.07999999999998], [19.9292056], [0.1412405411770997]]
[1000.0, 1500.0, 0.016162, [0.46862545999999994], [137.07999999999998], [19.9292056], [0.1299733235706466]]
[1000.0, 700.0, 0.038321, [1.1128499399999998], [137.07999999999998], [19.9292056], [0.1474005383979312]]
[1000.0, 1900.0, 0.018816, [0.5456975399999999], [137.07999999999998], [19.9292056], [0.1575293490115413]]
[1000.0, 1800.0, 0.014879, [0.43139968399999995], [137.07999999999998], [19.9292056], [0.12453436178019302]]
[1000.0, 500.0, 0.035709, [1.03680734], [137.07999999999998], [19.9292056], [0.14241643830681905]]
[1000.0, 1000.0, 0.017601, [0.51040864], [137.07999999999998], [19.9292056], [0.13641240861446585]]
[1000.0, 200.0, 0.735423, [21.494466], [58.419999999999995], [16.4252844], [0.6466147205252908]]
[1000.0, 1100.0, 0.026169, [0.75930084], [137.07999999999998], [19.9292056], [0.16569299611027616]]
[1000.0, 2000.0, 0.018627, [0.5401881199999999], [137.07999999999998], [19.9292056], [0.13947596729186]]
[1000.0, 1700.0, 0.029681, [0.86140796], [137.07999999999998], [19.9292056], [0.19762057210725809]]
[1000.0, 800.0, 0.033808, [0.9814638199999999], [137.07999999999998], [19.9292056], [0.13879998259365883]]
[1000.0, 1300.0, 0.02381, [0.69075532], [137.07999999999998], [19.9292056], [0.15847016690847524]]
[1000.0, 400.0, 0.423304, [10.4293776], [58.419999999999995], [16.4252844], [0.45090125903572276]]
[1000.0, 300.0, 0.633194, [17.1844454], [58.419999999999995], [16.4252844], [0.5786302681332873]]
[1000.0, 600.0, 0.037618, [1.09239558], [137.07999999999998], [19.9292056], [0.14597750484235572]]
[1000.0, 1200.0, 0.017426, [0.50533162], [137.07999999999998], [19.9292056], [0.13505552997193412]]
[1000.0, 100.0, 0.747918, [22.102172], [58.419999999999995], [16.4252844], [0.6563394064049484]]
[1000.0, 900.0, 0.038926, [1.13048266], [137.07999999999998], [19.9292056], [0.14843965507909265]]
[1100.0, 1300.0, 0.01763, [0.5112564199999999], [137.07999999999998], [19.9292056], [0.10900020073376011]]
[1100.0, 1800.0, 0.016048, [0.46532265999999994], [137.07999999999998], [19.9292056], [0.10404925460569144]]
[1100.0, 2000.0, 0.015121, [0.438432302], [137.07999999999998], [19.9292056], [0.11320272892470391]]
[1100.0, 700.0, 0.021191, [0.6146680999999999], [137.07999999999998], [19.9292056], [0.08780974688495577]]
[1100.0, 900.0, 0.029055, [0.8432122], [137.07999999999998], [19.9292056], [0.10301478932658163]]
[1100.0, 200.0, 0.541273, [13.983585999999999], [58.419999999999995], [16.4252844], [0.4193398955501372]]
[1100.0, 1900.0, 0.011302, [0.3276215679999999], [137.07999999999998], [19.9292056], [0.08756054990690727]]
[1100.0, 1500.0, 0.008986, [0.260459222], [137.07999999999998], [19.9292056], [0.08681974487407804]]
[1100.0, 800.0, 0.023836, [0.6914927], [137.07999999999998], [19.9292056], [0.09324087665825541]]
[1100.0, 500.0, 0.108713, [2.49484542], [58.419999999999995], [16.4252844], [0.17685489532382187]]
[1100.0, 1700.0, 0.015266, [0.44264447599999995], [137.07999999999998], [19.9292056], [0.10154960250045293]]
[1100.0, 400.0, 0.340475, [8.1780548], [58.419999999999995], [16.4252844], [0.3212643754293339]]
[1100.0, 600.0, 0.027169, [0.78838342], [137.07999999999998], [19.9292056], [0.09932693199731883]]
[1100.0, 1400.0, 0.013645, [0.39559908], [137.07999999999998], [19.9292056], [0.09594687013133883]]
[1100.0, 100.0, 0.567906, [14.8631934], [58.419999999999995], [16.4252844], [0.43177054077368454]]
[1100.0, 1100.0, 0.015178, [0.44009271799999994], [137.07999999999998], [19.9292056], [0.10096418434276583]]
[1100.0, 1000.0, 0.013955, [0.40457901599999996], [137.07999999999998], [19.9292056], [0.10812829119152859]]
[1100.0, 300.0, 0.478817, [12.0410382], [58.419999999999995], [16.4252844], [0.3890283122344696]]
[1100.0, 1200.0, 0.011493, [0.28790461599999995], [116.83999999999999], [16.794724199999997], [0.12875485458808922]]
[1100.0, 1600.0, 0.011278, [0.32693313199999996], [137.07999999999998], [19.9292056], [0.08737654895908856]]
[1200.0, 100.0, 0.397866, [9.7204716], [58.419999999999995], [16.4252844], [0.283093844157728]]
[1200.0, 1400.0, 0.009931, [0.287851716], [137.07999999999998], [19.9292056], [0.06603772240166979]]
[1200.0, 1700.0, 0.00903, [0.26173263999999996], [137.07999999999998], [19.9292056], [0.06347948333123073]]
[1200.0, 1800.0, 0.008877, [0.25729341], [137.07999999999998], [19.9292056], [0.062402810609779424]]
[1200.0, 700.0, 0.013533, [0.392342924], [137.07999999999998], [19.9292056], [0.05662983008980337]]
[1200.0, 200.0, 0.398742, [9.7446078], [58.419999999999995], [16.4252844], [0.2823635352519868]]
[1200.0, 1900.0, 0.011522, [0.33400305599999996], [137.07999999999998], [19.9292056], [0.07120967892077593]]
[1200.0, 1200.0, 0.008885, [0.257526492], [137.07999999999998], [19.9292056], [0.06245936170022873]]
[1200.0, 1100.0, 0.008861, [0.256829362], [137.07999999999998], [19.9292056], [0.06229026777916434]]
[1200.0, 1300.0, 0.013139, [0.380923792], [137.07999999999998], [19.9292056], [0.07618476338481336]]
[1200.0, 2000.0, 0.006843, [0.19830494199999998], [137.07999999999998], [19.9292056], [0.054999882254419416]]
[1200.0, 800.0, 0.01891, [0.54841798], [137.07999999999998], [19.9292056], [0.06699991194024063]]
[1200.0, 1600.0, 0.014184, [0.411220128], [137.07999999999998], [19.9292056], [0.07913934705315681]]
[1200.0, 1000.0, 0.006822, [0.197690336], [137.07999999999998], [19.9292056], [0.05482943366477534]]
[1200.0, 1500.0, 0.007915, [0.22937982799999998], [137.07999999999998], [19.9292056], [0.0662162610240113]]
[1200.0, 300.0, 0.354001, [8.535083799999999], [58.419999999999995], [16.4252844], [0.26478896215665787]]
[1200.0, 600.0, 0.022266, [0.64587772], [137.07999999999998], [19.9292056], [0.0726669266723177]]
[1200.0, 500.0, 0.145061, [3.34566004], [58.419999999999995], [16.4252844], [0.16563487966005228]]
[1200.0, 900.0, 0.021674, [0.62868614], [137.07999999999998], [19.9292056], [0.07164542455732954]]
[1200.0, 400.0, 0.273609, [6.4631794], [58.419999999999995], [16.4252844], [0.257091444431743]]
[1300.0, 1600.0, 0.006911, [0.20027889399999996], [137.07999999999998], [19.9292056], [0.044783720461792804]]
[1300.0, 1700.0, 0.008276, [0.239860422], [137.07999999999998], [19.9292056], [0.048961311787982145]]
[1300.0, 900.0, 0.014884, [0.43154366399999994], [137.07999999999998], [19.9292056], [0.04824805778474404]]
[1300.0, 200.0, 0.255643, [6.014909399999999], [58.419999999999995], [16.4252844], [0.18013226451693767]]
[1300.0, 1800.0, 0.005512, [0.15972442], [137.07999999999998], [19.9292056], [0.03993110275962836]]
[1300.0, 1000.0, 0.007301, [0.211600644], [137.07999999999998], [19.9292056], [0.04617504195991596]]
[1300.0, 1400.0, 0.005191, [0.150410708], [137.07999999999998], [19.9292056], [0.03883587969906179]]
[1300.0, 1200.0, 0.005174, [0.149941738], [137.07999999999998], [19.9292056], [0.0387147898819043]]
[1300.0, 500.0, 0.126884, [2.9188540999999995], [58.419999999999995], [16.4252844], [0.12514484091643568]]
[1300.0, 100.0, 0.279457, [6.610140199999999], [58.419999999999995], [16.4252844], [0.1885536577210848]]
[1300.0, 1100.0, 0.006529, [0.18919905799999998], [137.07999999999998], [19.9292056], [0.043405242664913184]]
[1300.0, 2000.0, 0.007252, [0.21017188399999998], [137.07999999999998], [19.9292056], [0.04586326648201151]]
