[100.0, 800.0, 0.232539, [3.1192714999999995], [60.643179999999994], [6.530804], [2.20565850847315]]
[100.0, 500.0, 0.435405, [6.239209999999999], [60.643179999999994], [6.530804], [2.790260050962992]]
[100.0, 650.0, 0.276349, [3.7367271999999994], [60.643179999999994], [6.530804], [2.1574004904050614]]
[100.0, 850.0, 0.276476, [3.73862516], [60.643179999999994], [6.530804], [2.158496267312038]]
[100.0, 600.0, 0.443241, [3.0999307999999997], [15.114146399999997], [2.1924842], [2.191982296461356]]
[100.0, 150.0, 0.250715, [1.8682145599999997], [23.0444084], [2.8455645999999994], [1.0786146661342966]]
[100.0, 100.0, 0.248704, [1.54831906], [15.114146399999997], [2.1924842], [1.5483192745683947]]
[100.0, 1000.0, 0.414774, [3.1268937], [15.114146399999997], [2.1924842], [3.1268937749786128]]
[100.0, 400.0, 0.382455, [12.4366428], [198.25654999999998], [19.592412], [5.077237366915201]]
[100.0, 350.0, 0.416664, [3.1510713], [15.114146399999997], [2.1924842], [3.1510721889541027]]
[100.0, 750.0, 0.315548, [9.9926582], [198.25654999999998], [19.592412], [3.5329392550679386]]
[100.0, 550.0, 0.250903, [1.8697583199999996], [23.0444084], [2.8455645999999994], [1.0795054349098943]]
[100.0, 50.0, 0.435733, [6.245005999999999], [60.643179999999994], [6.530804], [2.792850896127468]]
[100.0, 900.0, 0.444976, [3.1176454], [15.114146399999997], [2.1924842], [2.2045080668938364]]
[100.0, 450.0, 0.573396, [4.9787916], [23.0444084], [2.8455645999999994], [1.760268152583577]]
[100.0, 200.0, 0.251411, [1.8739286799999997], [23.0444084], [2.8455645999999994], [1.0819132525299797]]
[100.0, 950.0, 0.505291, [7.4836204], [60.643179999999994], [6.530804], [3.055175458791197]]
[100.0, 700.0, 0.276499, [3.73896326], [60.643179999999994], [6.530804], [2.158691830716001]]
[100.0, 300.0, 0.395816, [3.1192876], [23.0444084], [2.8455645999999994], [1.3949882064017602]]
