[100.0, 800.0, 0.647949, [62.09420399999999], [137.07999999999998], [19.9292056], [62.09419009859134]]
[100.0, 500.0, 0.848254, [62.36919199999999], [137.07999999999998], [19.9292056], [36.00886052626492]]
[100.0, 650.0, 0.985472, [124.62205], [137.07999999999998], [19.9292056], [44.06054957896008]]
[100.0, 850.0, 0.950532, [103.90599599999999], [137.07999999999998], [19.9292056], [46.46817452838017]]
[100.0, 600.0, 0.913652, [82.80193199999998], [137.07999999999998], [19.9292056], [41.4009685442261]]
[100.0, 150.0, 0.848184, [62.333265999999995], [137.07999999999998], [19.9292056], [35.98811991755056]]
[100.0, 100.0, 0.959182, [93.10998], [137.07999999999998], [19.9292056], [38.01199639061331]]
[100.0, 1000.0, 0.931987, [78.150734], [137.07999999999998], [19.9292056], [34.950066220252]]
[100.0, 400.0, 0.935565, [124.578488], [137.07999999999998], [19.9292056], [62.28923168574163]]
[100.0, 350.0, 0.959708, [93.990512], [137.07999999999998], [19.9292056], [38.37146737876986]]
[100.0, 750.0, 0.959437, [93.53391599999999], [137.07999999999998], [19.9292056], [38.18505135259085]]
[100.0, 550.0, 0.971332, [124.964428], [137.07999999999998], [19.9292056], [51.01650940626965]]
[100.0, 50.0, 0, [0.0], [58.419999999999995], [16.4252844], [0.0]]
[100.0, 900.0, 0.913922, [83.090904], [137.07999999999998], [19.9292056], [41.545449498109896]]
[100.0, 450.0, 0.913758, [82.914632], [137.07999999999998], [19.9292056], [41.457317211802305]]
[100.0, 200.0, 0.959505, [93.648226], [137.07999999999998], [19.9292056], [38.231723277927195]]
[100.0, 950.0, 0.950579, [104.00935799999999], [137.07999999999998], [19.9292056], [46.514393901243075]]
[100.0, 700.0, 0.783456, [62.061221999999994], [137.07999999999998], [19.9292056], [43.883930083801744]]
[100.0, 300.0, 0.963652, [156.281826], [137.07999999999998], [19.9292056], [69.89136518912761]]
[100.0, 250.0, 0.97117, [124.27654399999999], [137.07999999999998], [19.9292056], [50.73568535064841]]
[200.0, 750.0, 0.771195, [30.696241599999997], [137.07999999999998], [19.9292056], [9.255264015683181]]
[200.0, 550.0, 0.809585, [33.7047428], [137.07999999999998], [19.9292056], [9.72972096619425]]
