[200.0, 1800.0, 0.695352, [12.4299912], [60.643179999999994], [6.530804], [5.558859717603962]]
[200.0, 700.0, 0.38192, [3.118478], [23.0444084], [2.8455645999999994], [2.2050961373600018]]
[200.0, 2000.0, 0.560506, [6.232215699999999], [15.114146399999997], [2.1924842], [6.232216592834367]]
[200.0, 1300.0, 0.417022, [6.235120599999999], [60.643179999999994], [6.530804], [4.408897590554808]]
[200.0, 1400.0, 0.48904, [7.477907199999999], [60.643179999999994], [6.530804], [4.317371898736544]]
[200.0, 400.0, 0.238387, [18.773243999999995], [559.7832], [55.97832], [10.838736273200857]]
[200.0, 1900.0, 0.310619, [24.874086000000002], [559.7832], [55.97832], [12.437045784268864]]
[200.0, 1700.0, 0.360213, [12.2842954], [160.004698], [19.125925999999996], [12.284292894586974]]
[200.0, 500.0, 0.717776, [7.433386100000001], [23.0444084], [2.8455645999999994], [3.0346667527094304]]
[200.0, 1500.0, 0.550543, [12.437157999999998], [60.643179999999994], [6.530804], [12.437156372740514]]
[200.0, 100.0, 0.535225, [3.0988337], [4.711508599999999], [0.7463776], [3.0988341372199963]]
[200.0, 600.0, 0.459242, [2.0794875], [6.530804], [0.8863233999999999], [1.4704196985894875]]
[200.0, 1000.0, 0.45883, [2.07656075], [6.530804], [0.8863233999999999], [1.4683500646984695]]
[200.0, 1200.0, 0.681386, [12.3742714], [60.643179999999994], [6.530804], [6.18713509146196]]
[200.0, 300.0, 0.380224, [12.489294399999999], [198.25654999999998], [19.592412], [6.24464528376112]]
[200.0, 1600.0, 0.383951, [3.1400957], [23.0444084], [2.8455645999999994], [2.220382285778735]]
[200.0, 900.0, 0.38096, [3.1082935999999997], [23.0444084], [2.8455645999999994], [2.1978953316752823]]
[200.0, 800.0, 0.48459, [41.547255199999995], [559.7832], [55.97832], [18.580497293667893]]
[200.0, 1100.0, 0, [0.0], [494.47515999999996], [51.31345999999999], [0.0]]
[200.0, 200.0, 0.288607, [4.127604379999999], [60.643179999999994], [6.530804], [4.127603863744678]]
[300.0, 2000.0, 0.152728, [0.545097815], [6.530804], [0.8863233999999999], [0.38544236242271035]]
[300.0, 400.0, 0.182824, [0.6587484049999999], [6.530804], [0.8863233999999999], [0.3803284895981367]]
[300.0, 1000.0, 0.134529, [1.74892552], [60.643179999999994], [6.530804], [1.2366774693508409]]
[300.0, 200.0, 0.151389, [1.0938220399999998], [23.0444084], [2.8455645999999994], [0.7734489983185704]]
[300.0, 1600.0, 0.288698, [1.09904143], [6.530804], [0.8863233999999999], [0.6345319225618202]]
[300.0, 1300.0, 0.379295, [5.264483799999999], [60.643179999999994], [6.530804], [2.149217275195786]]
[300.0, 800.0, 0.354395, [2.7351254999999997], [23.0444084], [2.8455645999999994], [1.2231857569478153]]
