[200.0, 1800.0, 0.153705, [14.915985759999998, 0.497199648], [1968.8, 8.096], [126.311676, 0.98766186], [3.851290985215218, 0.4971995282379097]]
[200.0, 700.0, 0.129026, [2.9854874000000002, 2.9854874000000002], [259.90000000000003, 314.64], [15.5177596, 26.476988199999997], [1.2188198055496144, 1.2188198055496144]]
[200.0, 2000.0, 0.143805, [1.98669676, 0.9933479199999999], [103.5, 86.94], [6.6977012, 7.5865132], [0.9933482458835874, 0.7024032807440466]]
[200.0, 1300.0, 0.108712, [0.249288628, 8.97439024], [3.8824, 1996.4], [0.428071952, 126.311676], [0.24928859580815163, 2.9914631496978195]]
[200.0, 1400.0, 0.110952, [2.49263604, 0.498527116], [259.90000000000003, 25.392], [15.5177596, 2.93968428], [1.1147405043327347, 0.4985271938821392]]
[200.0, 400.0, 0.128913, [14.0222352, 1.5023820799999998], [1968.8, 86.94], [126.311676, 7.5865132], [3.747599871064146, 0.8674008634535706]]
[200.0, 1900.0, 0.115251, [0.24930275, 0.997211], [3.8824, 86.94], [0.428071952, 7.5865132], [0.24930277062239, 0.7051346586858428]]
[200.0, 1700.0, 0.170324, [1.4883548400000002, 0.9922365599999999], [43.37799999999999, 86.94], [3.22984216, 7.5865132], [0.8593020639565576, 0.7016171770987367]]
[200.0, 500.0, 0.076968, [41.626964, 1.9822366], [9476.0, 314.64], [553.91314, 26.476988199999997], [6.423178831700079, 0.991118011136918]]
[200.0, 1500.0, 0.130959, [23.933321600000003, 1.49583352], [4057.2, 86.94], [209.489474, 7.5865132], [4.8853704829009645, 0.863619637016204]]
[200.0, 100.0, 0.240348, [0.248118158, 43.6687936], [0.35742, 13938.0], [0.090960262, 875.2098], [0.2481181326707099, 6.583318409434561]]
[200.0, 600.0, 0.169957, [0.249382054, 8.977757440000001], [1.1500000000000001, 1996.4], [0.18400000000000002, 126.311676], [0.2493820752981256, 2.992585073276949]]
[200.0, 1000.0, 0.083498, [9.9432956, 5.96597736], [1968.8, 874.0], [126.311676, 74.882572], [3.144346277113893, 2.4355998751847565]]
[200.0, 1200.0, 0.163632, [2.97808968, 0.49634828], [259.90000000000003, 8.096], [15.5177596, 0.98766186], [1.2157997539068677, 0.49634822792068073]]
[200.0, 300.0, 0.168245, [0.7479995599999999, 3.4906639999999993], [14.352, 314.64], [1.25133524, 26.476988199999997], [0.4318576918384111, 1.3193470415322879]]
[200.0, 1600.0, 0.160175, [0.50182596, 0.501826144], [14.352, 8.096], [1.25133524, 0.98766186], [0.3548446678759595, 0.5018261418459584]]
[200.0, 900.0, 0.242116, [0.24876395199999998, 7.9604472], [0.35742, 1996.4], [0.090960262, 126.311676], [0.24876394264442747, 2.81444285243101]]
[200.0, 800.0, 0.111792, [37.8683224, 1.4948022], [9476.0, 86.94], [553.91314, 7.5865132], [6.143051567421521, 0.8630243877898237]]
[200.0, 1100.0, 0.074924, [39.8543264, 4.9817908], [9476.0, 874.0], [553.91314, 74.882572], [6.301523193641359, 2.2279247010615055]]
[200.0, 200.0, 0.135576, [0.248023536, 1.4881414000000002], [3.8824, 86.94], [0.428071952, 7.5865132], [0.2480234942903595, 0.859178537906994]]
[300.0, 2000.0, 0.105122, [0.087365408, 0.174730816], [0.35742, 25.392], [0.090960262, 2.93968428], [0.08736540841774851, 0.17473081683549702]]
[300.0, 400.0, 0.065865, [3.16199216, 0.08783313599999999], [786.6, 1.8078], [50.808656000000006, 0.304713108], [0.7452887008938214, 0.08783311840074905]]
[300.0, 1000.0, 0.100304, [1.2242486000000001, 0.349785196], [259.90000000000003, 8.096], [15.5177596, 0.98766186], [0.4627224119923305, 0.24733549387016818]]
[300.0, 200.0, 0.05078, [2362.6497], [786600.0], [37086.3868], [321.515814541058]]
[300.0, 1600.0, 0.061588, [11.25074808, 0.175792956], [4057.2, 8.096], [209.489474, 0.98766186], [1.9888697799504118, 0.1757929346020482]]
[300.0, 1300.0, 0.053769, [1.22838032, 5.26448472], [259.90000000000003, 1996.4], [15.5177596, 126.311676], [0.46428399550275257, 1.3592842307037922]]
[300.0, 800.0, 0.099971, [3.14193708, 0.34910412], [786.6, 8.096], [50.808656000000006, 0.98766186], [0.7405617132960628, 0.24685391586118297]]
[300.0, 700.0, 0.096976, [9.47128408, 0.35078836399999996], [4057.2, 8.096], [209.489474, 0.98766186], [1.8227495443532553, 0.24804479640581054]]
[300.0, 300.0, 0.053854, [1.2303242800000003, 5.27281992], [259.90000000000003, 1996.4], [15.5177596, 126.311676], [0.4650190031385814, 1.3614361306796583]]
[300.0, 900.0, 0.054749, [1.2225447600000001, 5.588777360000001], [259.90000000000003, 1996.4], [15.5177596, 126.311676], [0.4620785519367892, 1.3971941590487702]]
[300.0, 600.0, 0.054435, [11.85279608, 5.5777852], [4057.2, 1996.4], [209.489474, 126.311676], [2.032737866031919, 1.394446522000754]]
[300.0, 1400.0, 0.067254, [24.1786856, 0.8760395480000001], [9476.0, 86.94], [553.91314, 7.5865132], [2.910772412676745, 0.3917767907367663]]
[300.0, 500.0, 0.113239, [0.08776064, 0.35104256], [0.35742, 25.392], [0.090960262, 2.93968428], [0.08776063438695052, 0.24822454173590494]]
[300.0, 1200.0, 0.140626, [0.043564138999999995, 0.08712827799999999], [0.09706000000000001, 0.31418], [0.0328924104, 0.093860286], [0.04356413722317934, 0.08712827444635868]]
[300.0, 100.0, 0.112057, [0.087184766, 0.697478036], [0.35742, 86.94], [0.090960262, 7.5865132], [0.08718474545469523, 0.34873898181878094]]
[300.0, 1100.0, 0.113805, [0.087580688, 0.087580688], [0.35742, 1.8078], [0.090960262, 0.304713108], [0.08758070214379421, 0.08758070214379421]]
