[200.0, 1800.0, 1.0, [14294.48620000002], [29545.8], [2386.21182], [1332.9677730537992]]
[200.0, 700.0, 1.0, [12439.52929999999], [23703.8], [1936.70948], [1243.9528258740352]]
[200.0, 2000.0, 1.0, [16141.908300000021], [29545.8], [2386.21182], [1415.739026445201]]
[200.0, 1300.0, 1.0, [12215.141299999988], [23703.8], [1936.70948], [1233.9155959789136]]
[200.0, 1400.0, 1.0, [11840.02049999999], [23703.8], [1936.70948], [1214.7604105336975]]
[200.0, 400.0, 1.0, [17027.00120000002], [29545.8], [2386.21182], [1460.0531521146775]]
[200.0, 1900.0, 1.0, [13711.652399999988], [23703.8], [1936.70948], [1307.3546775837065]]
[200.0, 1700.0, 1.0, [12651.016599999988], [23703.8], [1936.70948], [1252.637308641251]]
[200.0, 500.0, 1.0, [14371.214199999988], [23703.8], [1936.70948], [1334.3336565492145]]
[200.0, 1500.0, 1.0, [13711.804199999986], [23703.8], [1936.70948], [1307.3692443223515]]
[200.0, 100.0, 1.0, [13398.37859999999], [23703.8], [1936.70948], [1289.259660813134]]
[200.0, 600.0, 1.0, [13466.633399999986], [23703.8], [1936.70948], [1295.8274298686524]]
[200.0, 1000.0, 1.0, [21005.207700000024], [29545.8], [2386.21182], [1615.7854408924493]]
[200.0, 1200.0, 1.0, [12905.05389999999], [23703.8], [1936.70948], [1265.4446582130715]]
[200.0, 300.0, 1.0, [11843.32559999999], [23703.8], [1936.70948], [1215.0993819437147]]
[200.0, 1600.0, 1.0, [12420.197799999987], [23703.8], [1936.70948], [1248.2767689899533]]
[200.0, 900.0, 1.0, [12313.815899999989], [23703.8], [1936.70948], [1237.5850976801544]]
[200.0, 800.0, 1.0, [10588.181100000013], [19545.399999999998], [1683.89532], [1148.4494446861836]]
[200.0, 1100.0, 1.0, [13575.381999999989], [23703.8], [1936.70948], [1300.2858331920704]]
[200.0, 200.0, 1.0, [15253.44590000002], [29545.8], [2386.21182], [1375.3567300885995]]
[300.0, 2000.0, 1.0, [2874.3219599999998], [3529.12], [183.784812], [158.46649488141017]]
[300.0, 400.0, 1.0, [2801.8765599999997], [3529.12], [183.784812], [156.87497289242793]]
[300.0, 1000.0, 1.0, [2798.28166], [3529.12], [183.784812], [156.42867972338067]]
[300.0, 200.0, 1.0, [2660.1675800000003], [3529.12], [183.784812], [152.57105085828044]]
[300.0, 1600.0, 1.0, [2979.69002], [3529.12], [183.784812], [161.83457689875794]]
[300.0, 1300.0, 1.0, [2737.53222], [3529.12], [183.784812], [154.98225356472267]]
[300.0, 800.0, 1.0, [2426.27368], [3529.12], [183.784812], [145.51822085223554]]
[300.0, 700.0, 1.0, [2551.98478], [3529.12], [183.784812], [149.60003422459502]]
[300.0, 300.0, 1.0, [3023.0832], [3529.12], [183.784812], [162.9937155843746]]
[300.0, 900.0, 1.0, [2637.20392], [3529.12], [183.784812], [151.7540627462738]]
[300.0, 600.0, 1.0, [2501.2886399999998], [3529.12], [183.784812], [147.64638566521023]]
[300.0, 1400.0, 1.0, [2566.7958599999997], [3529.12], [183.784812], [149.95379128251474]]
[300.0, 500.0, 1.0, [2817.11636], [3529.12], [183.784812], [157.2361150626662]]
[300.0, 1200.0, 1.0, [2265.33486], [3529.12], [183.784812], [140.49012265636327]]
[300.0, 100.0, 1.0, [1918.0643], [3529.12], [183.784812], [129.31587546778624]]
[300.0, 1100.0, 1.0, [2995.2601], [3529.12], [183.784812], [161.96514427493344]]
[300.0, 1900.0, 1.0, [2648.64228], [3529.12], [183.784812], [152.1605324648938]]
[300.0, 1500.0, 1.0, [2755.8098600000003], [3529.12], [183.784812], [155.27231691450993]]
[300.0, 1700.0, 1.0, [2587.80176], [3529.12], [183.784812], [149.90735885872982]]
[300.0, 1800.0, 1.0, [2796.3639200000002], [3529.12], [183.784812], [156.07780341867962]]
[400.0, 900.0, 1.0, [1867.7752600000001], [3529.12], [183.784812], [85.6993950503736]]
[400.0, 1200.0, 1.0, [1921.32754], [3529.12], [183.784812], [86.88544002305564]]
[400.0, 1500.0, 1.0, [1845.88478], [3529.12], [183.784812], [85.14431008587714]]
[400.0, 200.0, 1.0, [1928.0260600000001], [3529.12], [183.784812], [86.83391623092903]]
[400.0, 1600.0, 1.0, [2038.1776599999998], [3529.12], [183.784812], [89.38000049228015]]
[400.0, 500.0, 1.0, [2045.41024], [3529.12], [183.784812], [89.52517116431557]]
[400.0, 1700.0, 1.0, [2046.05792], [3529.12], [183.784812], [89.38243890160976]]
[400.0, 300.0, 1.0, [1770.1448599999999], [3529.12], [183.784812], [83.07701881988784]]
[400.0, 1300.0, 1.0, [1895.19264], [3529.12], [183.784812], [86.23426043052727]]
[400.0, 1400.0, 1.0, [1876.45684], [3529.12], [183.784812], [86.00725681010876]]
[400.0, 1100.0, 1.0, [1969.4117999999999], [3529.12], [183.784812], [87.89916352275486]]
[400.0, 800.0, 1.0, [1936.6933800000002], [3529.12], [183.784812], [87.13594849429252]]
[400.0, 100.0, 1.0, [1307.55322], [3529.12], [183.784812], [71.76129742416869]]
