# BEGIN PLOT
#XTwosidedTicks=1
#YTwosidedTicks=1
#Title=electron channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_EL/d26-x01-y02
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$m_{12}$ [GeV]
MainPlot=0
YLabel=$\text{d}\sigma_{W + \geq 2j} / \text{d}m_{12}$
#DrawOnly=/REF/ATLAS_2014_I1319490_EL/d26-x01-y02 /./mY_100_mX_600/mY_100_mX_600.yoda/ATLAS_2014_I1319490_EL/d26-x01-y02
LegendYPos=0.3
#Legend=1
RatioPlotYMin=1
LeftMargin=1.5
RatioPlotYMax=1.25
RatioPlotYLabel=(MC+Data)/Data
RatioPlotErrorBandColor={[rgb]{0.8,0.8,0.8}}
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d26-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_EL/d26-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+01	7.500000e+01	3.257522e-01	4.012359e-02	4.012359e-02
7.500000e+01	1.000000e+02	6.380859e-01	6.812029e-02	6.812029e-02
1.000000e+02	1.200000e+02	6.049970e-01	5.863400e-02	5.863400e-02
1.200000e+02	1.500000e+02	4.723939e-01	4.447623e-02	4.447623e-02
1.500000e+02	1.800000e+02	3.704628e-01	3.551321e-02	3.551321e-02
1.800000e+02	2.000000e+02	2.898927e-01	2.765719e-02	2.765719e-02
2.000000e+02	2.200000e+02	2.265469e-01	2.023898e-02	2.023898e-02
2.200000e+02	2.500000e+02	1.811945e-01	1.679278e-02	1.679278e-02
2.500000e+02	2.800000e+02	1.517955e-01	1.416043e-02	1.416043e-02
2.800000e+02	3.000000e+02	1.347556e-01	1.190683e-02	1.190683e-02
3.000000e+02	3.200000e+02	9.675054e-02	9.923095e-03	9.923095e-03
3.200000e+02	3.500000e+02	7.506397e-02	8.226461e-03	8.226461e-03
3.500000e+02	3.800000e+02	6.214075e-02	7.027212e-03	7.027212e-03
