(100.0, 1800.0, 0.999999)
(100.0, 800.0, 0.999999)
(100.0, 500.0, 1.0)
(100.0, 1100.0, 0.999991)
(100.0, 600.0, 0.99999)
(100.0, 1400.0, 0.999972)
(100.0, 1700.0, 1.0)
(100.0, 100.0, 0.999986)
(100.0, 1200.0, 1.0)
(100.0, 1000.0, 0.999995)
(100.0, 2000.0, 0.999997)
(100.0, 400.0, 0.999983)
(100.0, 1600.0, 0.999982)
(100.0, 1300.0, 0.999988)
(100.0, 1500.0, 0.999987)
(100.0, 900.0, 0.999999)
(100.0, 1900.0, 1.0)
(100.0, 200.0, 1.0)
(100.0, 700.0, 1.0)
(100.0, 300.0, 0.999978)
(200.0, 1800.0, 0.999912)
(200.0, 700.0, 0.99989)
(200.0, 2000.0, 0.999869)
(200.0, 1300.0, 0.999762)
(200.0, 1400.0, 0.999884)
(200.0, 400.0, 0.99983)
(200.0, 1900.0, 0.99989)
(200.0, 1700.0, 0.999937)
(200.0, 500.0, 0.999874)
(200.0, 1500.0, 0.999876)
(200.0, 100.0, 0.999838)
(200.0, 600.0, 0.999893)
(200.0, 1000.0, 0.999899)
(200.0, 1200.0, 0.999851)
(200.0, 300.0, 0.999874)
(200.0, 1600.0, 0.999879)
(200.0, 900.0, 0.999909)
(200.0, 800.0, 0.99987)
(200.0, 1100.0, 1.0)
(200.0, 200.0, 0.999822)
(300.0, 2000.0, 0.998875)
(300.0, 400.0, 0.99735)
(300.0, 1000.0, 0.996738)
(300.0, 200.0, 0.997414)
(300.0, 1600.0, 0.997151)
(300.0, 1300.0, 0.996454)
(300.0, 800.0, 0.998488)
(300.0, 700.0, 0.997516)
(300.0, 300.0, 0.998065)
(300.0, 900.0, 0.996974)
(300.0, 600.0, 0.998356)
(300.0, 1400.0, 0.997412)
(300.0, 500.0, 0.999661)
(300.0, 1200.0, 0.997665)
(300.0, 100.0, 0.999749)
(300.0, 1100.0, 0.996687)
(300.0, 1900.0, 0.996818)
(300.0, 1500.0, 0.998001)
(300.0, 1700.0, 0.998026)
(300.0, 1800.0, 0.995931)
(400.0, 900.0, 0.989834)
(400.0, 1200.0, 0.989104)
(400.0, 1500.0, 0.988511)
(400.0, 200.0, 0.986562)
(400.0, 1600.0, 0.986857)
(400.0, 500.0, 0.983703)
(400.0, 1700.0, 0.985525)
(400.0, 300.0, 0.98228)
(400.0, 1300.0, 0.989598)
(400.0, 1400.0, 0.98836)
(400.0, 1100.0, 0.989125)
(400.0, 800.0, 0.989569)
(400.0, 100.0, 0.997766)
(400.0, 1000.0, 0.989562)
(400.0, 400.0, 0.987926)
(400.0, 1800.0, 0.988222)
(400.0, 2000.0, 0.988248)
(400.0, 600.0, 0.988553)
(400.0, 700.0, 0.987772)
(400.0, 1900.0, 0.987325)
(500.0, 1700.0, 0.948873)
(500.0, 1100.0, 0.950121)
(500.0, 300.0, 0.955175)
