(100.0, 1800.0, 1.0)
(100.0, 800.0, 1.0)
(100.0, 500.0, 1.0)
(100.0, 1100.0, 1.0)
(100.0, 600.0, 1.0)
(100.0, 1400.0, 0.999999)
(100.0, 1700.0, 1.0)
(100.0, 100.0, 0.999998)
(100.0, 1200.0, 1.0)
(100.0, 1000.0, 1.0)
(100.0, 2000.0, 1.0)
(100.0, 400.0, 1.0)
(100.0, 1600.0, 0.999999)
(100.0, 1300.0, 1.0)
(100.0, 1500.0, 1.0)
(100.0, 900.0, 1.0)
(100.0, 1900.0, 1.0)
(100.0, 200.0, 1.0)
(100.0, 700.0, 1.0)
(100.0, 300.0, 1.0)
(200.0, 1800.0, 0.999997)
(200.0, 700.0, 0.999995)
(200.0, 2000.0, 0.999992)
(200.0, 1300.0, 0.999989)
(200.0, 1400.0, 0.999995)
(200.0, 400.0, 0.99999)
(200.0, 1900.0, 0.999995)
(200.0, 1700.0, 0.999994)
(200.0, 500.0, 0.999995)
(200.0, 1500.0, 0.999993)
(200.0, 100.0, 0.999993)
(200.0, 600.0, 0.999995)
(200.0, 1000.0, 0.999998)
(200.0, 1200.0, 0.999998)
(200.0, 300.0, 0.999998)
(200.0, 1600.0, 0.999993)
(200.0, 900.0, 0.999996)
(200.0, 800.0, 0.999995)
(200.0, 1100.0, 1.0)
(200.0, 200.0, 0.999993)
(300.0, 2000.0, 0.999676)
(300.0, 400.0, 0.999768)
(300.0, 1000.0, 0.999785)
(300.0, 200.0, 0.999685)
(300.0, 1600.0, 0.999775)
(300.0, 1300.0, 0.999809)
(300.0, 800.0, 0.999867)
(300.0, 700.0, 0.999796)
(300.0, 300.0, 0.999585)
(300.0, 900.0, 0.999778)
(300.0, 600.0, 0.999825)
(300.0, 1400.0, 0.999818)
(300.0, 500.0, 0.999741)
(300.0, 1200.0, 0.999792)
(300.0, 100.0, 1.0)
(300.0, 1100.0, 0.999687)
(300.0, 1900.0, 0.999707)
(300.0, 1500.0, 0.999767)
(300.0, 1700.0, 0.999826)
(300.0, 1800.0, 0.999725)
(400.0, 900.0, 0.998175)
(400.0, 1200.0, 0.997844)
(400.0, 1500.0, 0.998237)
(400.0, 200.0, 0.997486)
(400.0, 1600.0, 0.997413)
(400.0, 500.0, 0.997171)
(400.0, 1700.0, 0.99769)
(400.0, 300.0, 0.997042)
(400.0, 1300.0, 0.997902)
(400.0, 1400.0, 0.998199)
(400.0, 1100.0, 0.997996)
(400.0, 800.0, 0.998222)
(400.0, 100.0, 1.0)
(400.0, 1000.0, 0.998383)
(400.0, 400.0, 0.997853)
(400.0, 1800.0, 0.997869)
(400.0, 2000.0, 0.997397)
(400.0, 600.0, 0.997846)
(400.0, 700.0, 0.997204)
(400.0, 1900.0, 0.997567)
(500.0, 1700.0, 0.979948)
(500.0, 1100.0, 0.980733)
(500.0, 300.0, 0.981868)
(500.0, 1300.0, 0.979868)
(500.0, 1800.0, 0.982411)
(500.0, 1400.0, 0.980148)
(500.0, 600.0, 0.98302)
(500.0, 1900.0, 0.979331)
(500.0, 1200.0, 0.979935)
(500.0, 800.0, 0.982342)
(500.0, 1000.0, 0.980917)
(500.0, 2000.0, 0.982209)
(500.0, 700.0, 0.979244)
(500.0, 100.0, 1.0)
(500.0, 200.0, 0.999977)
(500.0, 1500.0, 0.978075)
(500.0, 900.0, 0.985051)
(500.0, 1600.0, 0.981201)
(500.0, 500.0, 0.982292)
(500.0, 400.0, 0.974966)
(600.0, 200.0, 0.999893)
(600.0, 1400.0, 0.927031)
(600.0, 1900.0, 0.930451)
(600.0, 100.0, 0.999997)
(600.0, 800.0, 0.932632)
(600.0, 1200.0, 0.928757)
(600.0, 600.0, 0.929632)
(600.0, 1600.0, 0.929409)
(600.0, 400.0, 0.930365)
(600.0, 500.0, 0.927645)
(600.0, 1100.0, 0.937917)
(600.0, 300.0, 0.927499)
(600.0, 1700.0, 0.927588)
(600.0, 1500.0, 0.927797)
(600.0, 1800.0, 0.925398)
(600.0, 1000.0, 0.930409)
(600.0, 2000.0, 0.9433)
(600.0, 700.0, 0.934269)
(600.0, 1300.0, 0.938764)
(600.0, 900.0, 0.923018)
(700.0, 2000.0, 0.928354)
(700.0, 100.0, 0.998569)
(700.0, 1000.0, 0.919429)
(700.0, 600.0, 0.922936)
(700.0, 1400.0, 0.925546)
(700.0, 1900.0, 0.919641)
(700.0, 200.0, 0.990374)
(700.0, 400.0, 0.924329)
(700.0, 1300.0, 0.922156)
(700.0, 1100.0, 0.921216)
(700.0, 800.0, 0.920379)
(700.0, 1500.0, 0.922795)
(700.0, 1600.0, 0.92372)
(700.0, 1800.0, 0.923436)
(700.0, 1200.0, 0.923782)
(700.0, 700.0, 0.917432)
(700.0, 900.0, 0.919563)
(700.0, 300.0, 0.938456)
(700.0, 500.0, 0.925869)
(700.0, 1700.0, 0.97478)
(800.0, 300.0, 0.908316)
(800.0, 100.0, 0.969847)
(800.0, 1800.0, 0.950858)
(800.0, 800.0, 0.950975)
(800.0, 400.0, 0.94897)
(800.0, 200.0, 0.935778)
(800.0, 1700.0, 0.946917)
(800.0, 600.0, 0.946133)
(800.0, 1600.0, 0.946189)
(800.0, 1000.0, 0.95018)
(800.0, 1100.0, 0.954042)
(800.0, 1500.0, 0.977616)
(800.0, 1400.0, 0.946062)
(800.0, 1200.0, 0.949661)
(800.0, 900.0, 0.951762)
(800.0, 1300.0, 0.94675)
(800.0, 2000.0, 0.948633)
(800.0, 500.0, 0.947172)
(800.0, 1900.0, 0.942129)
(800.0, 700.0, 0.948007)
(900.0, 200.0, 0.851528)
