[100.0, 1800.0, 0.018132, [23.4625024, 6.4406881600000006], [25530.0, 4876.0], [1383.06314, 416.54771000000005], [1.8968311815235428, 0.9938195831437415]]
[100.0, 800.0, 0.050735, [0.0385507002, 0.154202764], [0.35742, 25.392], [0.090960262, 2.93968428], [0.0385507061102647, 0.10903785507794989]]
[100.0, 500.0, 0.021508, [0.0385238132, 0.231142916], [3.8824, 86.94], [0.428071952, 7.5865132], [0.038523823205907276, 0.13345043184643504]]
[100.0, 1100.0, 0.030598, [0.307532448, 0.92259716], [103.5, 314.64], [6.6977012, 26.476988199999997], [0.1537662415486572, 0.2663309269611774]]
[100.0, 600.0, 0.025703, [11.21959872, 0.0768465788], [9476.0, 8.096], [553.91314, 0.98766186], [1.3131549026676175, 0.07684657624123536]]
[100.0, 1400.0, 0.03105, [0.0385190522, 2.46521912], [1.1500000000000001, 1996.4], [0.18400000000000002, 126.311676], [0.03851904700274917, 0.6163046971101226]]
[100.0, 1700.0, 0.019915, [0.230240856, 14.42842624], [103.5, 13938.0], [6.6977012, 875.2098], [0.13292962174022763, 1.488178645835237]]
[100.0, 100.0, 0.026317, [4.01230768, 0.0385798872], [4057.2, 1.8078], [209.489474, 0.304713108], [0.7868783180136558, 0.03857988764628533]]
[100.0, 1200.0, 0.033962, [0.0384413766, 0.076882744], [1.1500000000000001, 8.096], [0.18400000000000002, 0.98766186], [0.038441380115703444, 0.0768827547269217]]
[100.0, 1000.0, 0.018729, [10.51922112, 12.53024912], [9476.0, 13938.0], [553.91314, 875.2098], [1.2756430846282985, 1.3922499552594714]]
[100.0, 2000.0, 0.029314, [0.23112322800000001, 1.540821336], [43.37799999999999, 874.0], [3.22984216, 74.882572], [0.13343901498437402, 0.487250413549337]]
[100.0, 400.0, 0.02578, [4.95084384, 3.09427832], [4057.2, 1996.4], [209.489474, 126.311676], [0.8751940222830592, 0.6919016568270377]]
[100.0, 1600.0, 0.052442, [0.307369516, 0.0384211826], [103.5, 0.31418], [6.6977012, 0.093860286], [0.15368472642393582, 0.03842118435967324]]
[100.0, 1300.0, 0.018333, [21.14068, 1.388803296], [25530.0, 874.0], [1383.06314, 74.882572], [1.8061695303819074, 0.462934456181434]]
[100.0, 1500.0, 0.048712, [0.019248973699999998, 0.38497952], [0.09706000000000001, 86.94], [0.0328924104, 7.5865132], [0.019248973310283333, 0.1721680635658077]]
[100.0, 900.0, 0.027926, [6.008696639999999, 0.6933110800000001], [4057.2, 314.64], [209.489474, 26.476988199999997], [0.9621614936381522, 0.2311037070061837]]
[100.0, 1900.0, 0.046565, [0.0192271467, 0.8459944640000001], [0.09706000000000001, 314.64], [0.0328924104, 26.476988199999997], [0.019227145734611782, 0.2550769144238655]]
[100.0, 200.0, 0.044298, [25.745556, 0.308330088], [25530.0, 25.392], [1383.06314, 2.93968428], [1.9922510251471828, 0.15416504537670012]]
[100.0, 700.0, 0.045231, [0.0383377984, 0.076675606], [3.8824, 1.8078], [0.428071952, 0.304713108], [0.03833780304607973, 0.05421784492212872]]
[100.0, 300.0, 0.023838, [0.076812916, 3.0725166399999995], [14.352, 1996.4], [1.25133524, 126.311676], [0.05431491758255737, 0.6870354019408316]]
[200.0, 1800.0, 0.009479, [12.47831512, 0.627839648], [25530.0, 874.0], [1383.06314, 74.882572], [0.6997491212141677, 0.15695993790008964]]
[200.0, 700.0, 0.014242, [0.0049241689, 1.2999811600000002], [0.09706000000000001, 1996.4], [0.0328924104, 126.311676], [0.004924171623735306, 0.22629763466726735]]
[200.0, 2000.0, 0.011985, [0.0785450644, 1.4138112880000002], [43.37799999999999, 1996.4], [3.22984216, 126.311676], [0.03927254680817122, 0.23563525929707552]]
[200.0, 1300.0, 0.016984, [0.009865403799999999, 0.019730812200000003], [0.35742, 1.8078], [0.090960262, 0.304713108], [0.009865401129198955, 0.013951784075164007]]
[200.0, 1400.0, 0.015244, [0.11830316800000001, 1.3802035039999998], [43.37799999999999, 1996.4], [3.22984216, 126.311676], [0.04829705591027263, 0.2332969805891195]]
[200.0, 400.0, 0.01202, [2.40824536, 0.8290679360000001], [4057.2, 874.0], [209.489474, 74.882572], [0.3083442002957085, 0.18091746081791002]]
[200.0, 1900.0, 0.01451, [0.0049266828, 1.3794713680000001], [0.09706000000000001, 1996.4], [0.0328924104, 126.311676], [0.004926682679044795, 0.23317316058243065]]
[200.0, 1700.0, 0.010551, [2.1969765600000004, 0.27462202399999996], [4057.2, 314.64], [209.489474, 26.476988199999997], [0.29358328715374793, 0.07339582755443255]]
[200.0, 500.0, 0.016908, [0.0098206688, 0.019641323800000002], [0.35742, 1.8078], [0.090960262, 0.304713108], [0.009820663881836096, 0.013888517576761027]]
