[100.0, 800.0, 0.157608, [57.2179464], [3085.22], [282.25002], [1.402249018683914]]
[100.0, 500.0, 0.155268, [56.3569368], [3085.22], [282.25002], [1.3912112116857023]]
[100.0, 650.0, 0.157625, [57.2242576], [3085.22], [282.25002], [1.4036688163238507]]
[100.0, 850.0, 0.164523, [59.7649664], [3085.22], [282.25002], [1.4327553178962555]]
[100.0, 600.0, 0.167516, [60.868727199999995], [3085.22], [282.25002], [1.443132656743655]]
[100.0, 150.0, 0.183342, [66.7213808], [3085.22], [282.25002], [1.512105350192241]]
[100.0, 100.0, 0.154201, [55.964796], [3085.22], [282.25002], [1.386609887401644]]
[100.0, 1000.0, 0.160079, [58.127421600000005], [3085.22], [282.25002], [1.4143804847069972]]
[100.0, 400.0, 0.164926, [59.913380800000006], [3085.22], [282.25002], [1.4363132400420182]]
[100.0, 350.0, 0.152517, [55.3456912], [3085.22], [282.25002], [1.376349518400032]]
[100.0, 750.0, 0.152602, [55.37678719999999], [3085.22], [282.25002], [1.3771230437981932]]
[100.0, 550.0, 0.17275, [62.801408], [3085.22], [282.25002], [1.4680598867348702]]
[100.0, 50.0, 0.169734, [61.68738], [3085.22], [282.25002], [1.4515680582873127]]
[100.0, 900.0, 0.15561, [56.4829216], [3085.22], [282.25002], [1.3905134559003736]]
[100.0, 450.0, 0.148304, [53.798306399999994], [3085.22], [282.25002], [1.3555898272855254]]
[100.0, 200.0, 0.158414, [57.5146096], [3085.22], [282.25002], [1.4057250781002664]]
[100.0, 950.0, 0.161555, [58.6711048], [3085.22], [282.25002], [1.418816590824903]]
[100.0, 700.0, 0.16036, [58.2310136], [3085.22], [282.25002], [1.4118941193163177]]
[100.0, 300.0, 0.162265, [58.93266080000001], [3085.22], [282.25002], [1.420167380107007]]
[100.0, 250.0, 0.161518, [58.657488799999996], [3085.22], [282.25002], [1.4197333167042325]]
[200.0, 750.0, 0.175693, [25.453387000000003], [1401.1599999999999], [108.248672], [0.5278789621684122]]
[200.0, 550.0, 0.185643, [26.922420000000002], [1401.1599999999999], [108.248672], [0.5441370798796936]]
[200.0, 700.0, 0.181332, [26.285343], [1401.1599999999999], [108.248672], [0.5375563523017842]]
[200.0, 250.0, 0.168161, [24.344166], [1401.1599999999999], [108.248672], [0.5173757339690372]]
[200.0, 50.0, 0.08878, [1.61811555], [150.926], [7.6186625999999995], [0.13345990551472753]]
[200.0, 400.0, 0.185197, [9.625499999999999], [584.66], [33.078448200000004], [0.4599240937372166]]
[200.0, 650.0, 0.176936, [25.636582000000004], [1401.1599999999999], [108.248672], [0.5320212226030087]]
[200.0, 450.0, 0.170609, [24.704484], [1401.1599999999999], [108.248672], [0.521164064187085]]
[200.0, 500.0, 0.180517, [26.16503], [1401.1599999999999], [108.248672], [0.5354317503660013]]
[200.0, 350.0, 0.176466, [25.567375], [1401.1599999999999], [108.248672], [0.5299008829016988]]
[200.0, 100.0, 0.180746, [26.198885999999998], [1401.1599999999999], [108.248672], [0.5371373633438657]]
